neighborhood,count
Allerton,2233
Arden Heights,173
Arrochar,331
Arverne,201
Astoria,5063
Bath Beach,604
Battery Park City,424
Bay Ridge,1808
Bay Terrace,115
"Bay Terrace, Staten Island",96
Baychester,552
Bayside,712
Bayswater,276
Bedford-Stuyvesant,12090
Belle Harbor,52
Bellerose,300
Belmont,2228
Bensonhurst,1523
Bergen Beach,481
Boerum Hill,758
Borough Park,1926
Breezy Point,12
Briarwood,833
Brighton Beach,1255
Bronxdale,1171
Brooklyn Heights,1054
Brownsville,1956
Bull's Head,235
Bushwick,9198
Cambria Heights,468
Canarsie,2400
Carroll Gardens,578
Castle Hill,310
Castleton Corners,375
Charleston,10
Chelsea,4622
"Chelsea, Staten Island",34
Chinatown,1162
City Island,250
Civic Center,356
Claremont Village,2340
Clason Point,680
Clifton,628
Clinton Hill,2125
Co-op City,138
Cobble Hill,293
College Point,784
Columbia St,136
Concord,106
Concourse,2087
Concourse Village,2725
Coney Island,1220
Corona,1793
Country Club,162
Crown Heights,10024
Cypress Hills,2878
DUMBO,193
Ditmars Steinway,1492
Dongan Hills,294
Douglaston,175
Downtown Brooklyn,852
Dyker Heights,644
East Elmhurst,2176
East Flatbush,5473
East Harlem,8477
East Morrisania,1164
East New York,4116
East Village,7525
Eastchester,168
Edenwald,819
Edgemere,423
Elmhurst,2570
Eltingville,143
Emerson Hill,239
Far Rockaway,977
Fieldston,329
Financial District,2288
Flatbush,7078
Flatiron District,830
Flatlands,1458
Flushing,4284
Fordham,5873
Forest Hills,1743
Fort Greene,1921
Fort Hamilton,927
Fort Wadsworth,13
Fresh Meadows,293
Gerritsen Beach,168
Glen Oaks,17
Glendale,987
Gowanus,1480
Gramercy,1508
Graniteville,206
Grant City,83
Gravesend,2055
Great Kills,487
Greenpoint,2320
Greenwich Village,1972
Grymes Hill,48
Harlem,20800
Hell's Kitchen,4517
Highbridge,1918
Hollis,1072
Hollis Hills,87
Holliswood,73
Howard Beach,677
Howland Hook,13
Huguenot,126
Hunts Point,898
Inwood,9653
Jackson Heights,3105
Jamaica,4191
Jamaica Estates,1623
Jamaica Hills,246
Kensington,1508
Kew Gardens,1162
Kew Gardens Hills,441
Kingsbridge,4102
Kips Bay,1650
Laurelton,311
Lighthouse Hill,34
Little Italy,290
Little Neck,136
Long Island City,3127
Longwood,3256
Lower East Side,4946
Manhattan Beach,151
Marble Hill,589
Mariners Harbor,460
Maspeth,1147
Melrose,1046
Middle Village,649
Midland Beach,118
Midtown,5885
Midwood,1994
Mill Basin,188
Morningside Heights,1303
Morris Heights,2201
Morris Park,752
Morrisania,1400
Mott Haven,2372
Mount Eden,1606
Mount Hope,1692
Murray Hill,1195
Navy Yard,21
Neponsit,38
New Brighton,244
New Dorp,63
New Dorp Beach,193
New Springville,200
NoHo,486
Nolita,735
North Riverdale,189
Norwood,4104
Oakwood,108
Olinville,407
Ozone Park,2155
Park Slope,1770
Parkchester,1972
Pelham Bay,496
Pelham Gardens,283
Pleasant Plains,19
Port Ivory,1
Port Morris,145
Port Richmond,511
Prince's Bay,113
Prospect Heights,1317
Prospect-Lefferts Gardens,3696
Queens Village,1303
Randall Manor,797
Red Hook,671
Rego Park,1040
Richmond Hill,4336
Richmondtown,57
Ridgewood,2610
Riverdale,419
Rockaway Beach,378
Roosevelt Island,53
Rosebank,97
Rosedale,518
Rossville,138
Schuylerville,366
Sea Gate,92
Sheepshead Bay,2584
Shore Acres,114
Silver Lake,60
SoHo,1366
Soundview,3010
South Beach,134
South Ozone Park,1799
South Slope,730
Springfield Gardens,675
Spuyten Duyvil,132
St. Albans,1001
St. George,553
Stapleton,432
Stuyvesant Town,310
Sunnyside,2490
Sunset Park,3977
Theater District,940
Throgs Neck,1090
Todt Hill,58
Tompkinsville,278
Tottenville,300
Tremont,1232
Tribeca,1474
Two Bridges,763
Unionport,942
University Heights,1894
Upper East Side,9653
Upper West Side,9340
Van Nest,719
Vinegar Hill,494
Wakefield,2203
Washington Heights,14443
West Brighton,597
West Farms,1234
West Village,3460
Westchester Square,577
Westerleigh,144
Whitestone,494
Williamsbridge,1499
Williamsburg,12660
Willowbrook,28
Windsor Terrace,474
Woodhaven,1641
Woodlawn,260
Woodrow,251
Woodside,1657
